Pitch (Hz),Speech Rate (Words Per Minute),Average Loudness (dB),Label
18.312765,105.4485049833887,-31.756686695369606,0
13.725724,139.2,-28.646821107458397,0
25.046734,138.4,-25.128288523945656,0
21.90977,106.6,-26.711063007447496,0
14.585609,173.0,-24.005432006842163,0
5.4728713,155.6,-26.268267920449876,0
13.382248,137.2,-22.955993303431846,0
14.750571,134.6,-20.594251756914257,0
14.888885,132.0,-26.054740910130015,0
8.499979,119.80132450331126,-23.57659184770102,0
11.20411,133.156146179402,-25.3656159819244,0
6.015763,198.13953488372093,-25.33652528482702,0
8.793953,138.6,-26.77832831774184,0
19.183498,129.2,-26.437814576713677,0
6.341252,137.3421926910299,-21.49308889274496,0
18.825678,184.4,-26.710021938280644,0
24.778393,89.8,-21.196925825060436,0
5.4400306,179.4,-23.76485082639632,0
13.090805,127.0,-22.836197743750656,0
4.7717314,104.34782608695652,-22.549969611359213,0
4.793939,104.0,-26.6678173016609,0
15.629752,130.2,-23.853186501770406,0
6.3718705,113.22259136212625,-17.002533946627242,0
11.551621,114.45544554455446,-25.90339152406283,0
21.014467,151.0,-26.2022130380858,0
17.287132,116.2,-23.778431611939066,0
8.584497,177.8,-21.094095318869332,0
5.959886,98.4,-15.079103409828022,0
9.970989,145.2,-22.308843633679125,0
8.905545,124.2,-31.073276593768405,0
20.122408,81.6,-31.244496001996744,1
9.551131,101.8,-28.71918034074073,1
6.00699,117.4,-29.01202932596086,1
8.1706705,66.2,-28.771044023033575,1
5.701057,83.2,-30.35646807178662,1
9.301359,93.4,-29.4055868530349,1
6.974801,101.0,-26.492960901477797,1
3.9933212,95.8,-28.665999796551603,1
22.04848,79.2,-29.099580423243946,1
6.100901,162.0,-26.40875359605717,1
9.405853,140.4,-27.386056238260647,1
10.298948,121.0,-28.240392779963994,1
9.800952,87.2,-26.41107821044901,1
14.753052,100.0,-25.41873133936712,1
8.691792,81.72757475083057,-27.534102732601205,1
9.226879,93.8,-29.459687445552493,1
7.748177,107.6,-27.82141486440002,1
10.138427,139.2,-32.21687804954981,1
15.975061,99.4,-29.94770912494697,1
19.389647,84.2,-28.283759546506527,1
11.760936,141.4,-28.456615027809367,1
14.305366,94.88372093023256,-28.08029464561132,1
18.069515,98.2,-29.618546590385353,1
5.7009788,86.7109634551495,-30.33256376510293,1
5.5527225,150.4,-26.590013311015404,1
1.7333683,147.3089700996678,-23.562563439847494,1
18.707542,109.2,-33.820529126746884,1
10.42112,89.2,-25.850505842808968,1
6.314776,104.6,-26.312642664766926,1
8.405367,121.0,-28.372312627081243,1
